Name,Longitude,Latitude
MSP,-93.221802,44.882
MKE,-87.89659881591797,42.947200775146484
ATL,-84.428101,33.6367
PHF,-76.49299622,37.13190079
CLE,-81.8498001099,41.4117012024
RDU,-78.7874984741211,35.877601623535156
RIC,-77.3197021484375,37.50519943237305
DTW,-83.35340118408203,42.212398529052734
OMA,-95.894096,41.3032
BOS,-71.00520325,42.36429977
BTR,-91.149597,30.533199
ILM,-77.90260314941406,34.270599365234375
MOT,-101.27999877929688,48.2593994140625
CMH,-82.891899,39.998001
CVG,-84.6678009033,39.0488014221
MSN,-89.3375015258789,43.13990020751953
CAE,-81.11949920654297,33.93880081176758
OAJ,-77.61209869380001,34.8292007446
JFK,-73.77890015,40.63980103
LGA,-73.87259674,40.77719879
BUF,-78.73220062,42.94049835
ORF,-76.20120239257812,36.89459991455078
BTV,-73.15329742429999,44.471900939899996
CWA,-89.6668014526,44.7775993347
CAK,-81.44219970703125,40.916099548339844
JAN,-90.0758972168,32.3111991882
DCA,-77.037697,38.8521
DSM,-93.66310119628906,41.534000396728516
TYS,-83.9940033,35.81100082
EYW,-81.75959777832031,24.556100845336914
BWI,-76.668297,39.1754
SHV,-93.8256,32.446602
IND,-86.294403,39.7173
SDF,-85.736,38.1744
LNK,-96.75920104980469,40.85100173950195
TVC,-85.58219909667969,44.74140167236328
GRR,-85.52279663,42.88079834
ELM,-76.8916015625,42.1599006652832
CRW,-81.59320068359375,38.37310028076172
CHO,-78.4529037475586,38.13859939575195
CHS,-80.04049683,32.89860153
HRL,-97.65440368652344,26.228500366210938
SYR,-76.1063003540039,43.11119842529297
IAD,-77.45580292,38.94449997
HSV,-86.775100708008,34.637199401855
MCO,-81.30899810791016,28.429399490356445
SAV,-81.20210266,32.12760162
SAT,-98.46980285644531,29.533700942993164
PHL,-75.24109649658203,39.87189865112305
BNA,-86.6781997680664,36.1245002746582
LAX,-118.4079971,33.94250107
DFW,-97.038002,32.896801
SJC,-121.929001,37.362598
ORD,-87.9048,41.9786
SEA,-122.308998,47.449001
PHX,-112.01200103759766,33.43429946899414
MIA,-80.29060363769531,25.79319953918457
JAX,-81.68789672851562,30.49410057067871
SFO,-122.375,37.61899948120117
STL,-90.370003,38.748697
CLT,-80.94309997558594,35.2140007019043
LAS,-115.1520004,36.08010101
OGG,-156.429993,20.8986
GSO,-79.93730163574219,36.097801208496094
DEN,-104.672996521,39.861698150635
OAK,-122.221001,37.721298
GUC,-106.9329987,38.53390121
RSW,-81.75520324707031,26.53619956970215
MSY,-90.25800323486328,29.99340057373047
GEG,-117.53399658203125,47.61989974975586
AUS,-97.6698989868164,30.194499969482422
IAH,-95.34140014648438,29.984399795532227
SLC,-111.97799682617188,40.78839874267578
MCI,-94.713898,39.2976
MDT,-76.7633972168,40.1935005188
TPA,-82.533203125,27.975500106811523
FLL,-80.152702,26.072599
SAN,-117.190002441,32.7336006165
RNO,-119.76799774169922,39.49909973144531
MEM,-89.97669982910156,35.04240036010742
TUS,-110.94100189208984,32.1161003112793
SMF,-121.59100341796875,38.69540023803711
ABQ,-106.609001,35.040199
SNA,-117.8679962,33.67570114
ONT,-117.60099792480469,34.055999755859375
EGE,-106.9179993,39.64260101
ICT,-97.433098,37.649899
EWR,-74.168701171875,40.692501068115234
